year,picture,rating,runtime,genre,subgenre,release,score,synopsis,,,,,,,,,,,,,,,,,,,,,,,,
1977, The Goodbye Girl,7.4,111,Comedy,Drama,February,0,After being dumped by her live-in boyfriend an unemployed dancer and her 10-year-old daughter are reluctantly forced to live with a struggling off-Broadway actor.,,,,,,,,,,,,,,,,,,,,,,,,
1974, Harry and Tonto,7.5,115,Adventure,Comedy,January,0,When his apartment building is torn down a retired lifelong New Yorker goes on a cross country odyssey with his beloved cat Tonto.,,,,,,,,,,,,,,,,,,,,,,,,
1973, Save the Tiger,6.9,100,Drama,NA,July,0,A businessmans professional struggles begin to conflict with his personal life over the course of two days.,,,,,,,,,,,,,,,,,,,,,,,,
1972, The Godfather,9.2,175,Crime,Drama,March,100,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,,,,,,,,,,,,,,,,,,,,,,,,
1969, True Grit,7.7,110,Adventure,Drama,December,80,A tough U.S. Marshal helps a stubborn teenager track down her fathers murderer.,,,,,,,,,,,,,,,,,,,,,,,,
1968, Charly,7.1,103,Drama,Sci-Fi,September,0,An intellectually disabled man undergoes an experiment that gives him the intelligence of a genius.,,,,,,,,,,,,,,,,,,,,,,,,
1967, In the Heat of the Night,8,109,Crime,Drama,October,0,An African American police detective is asked to investigate a murder in a racially hostile southern town.,,,,,,,,,,,,,,,,,,,,,,,,
1965, Cat Ballou,6.9,97,Comedy,Western,June,0,A woman seeking revenge for her murdered father hires a famous gunman but hes very different from what she expects.,,,,,,,,,,,,,,,,,,,,,,,,
1963, Lilies of the Field,7.7,94,Drama,NA,July,0,A traveling handyman becomes the answer to the prayers of nuns who wish to build a chapel in the desert.,,,,,,,,,,,,,,,,,,,,,,,,
1962, To Kill a Mockingbird,8.4,129,Drama,NA,March,0,Atticus Finch a lawyer in the Depression-era South defends a black man against an undeserved rape charge and his kids against prejudice.,,,,,,,,,,,,,,,,,,,,,,,,
1961, Judgment at Nuremberg,8.3,186,Drama,History,December,0,In 1948 an American court in occupied Germany tries four Nazi judges for war crimes.,,,,,,,,,,,,,,,,,,,,,,,,
1960, Elmer Gantry,7.9,146,Drama,NA,July,0,A fast-talking traveling salesman with a charming loquacious manner convinces a sincere evangelist that he can be an effective preacher for her cause.,,,,,,,,,,,,,,,,,,,,,,,,
1958, Separate Tables,7.6,100,Drama,Romance,February,0,"The stories of several people are told as they stay at a seaside hotel in Bournemouth which features dining at ""Separate Tables.""",,,,,,,,,,,,,,,,,,,,,,,,
1956, The King and I (Rodgers and Hammerstein's The King and I),7.5,133,Biography,Drama,June,0,A widow accepts a job as a live-in governess to the King of Siams children.,,,,,,,,,,,,,,,,,,,,,,,,
1953,Stalag 17,8.1,120,Comedy,Drama,August,0,When two escaping American World War II prisoners are killed the German POW camp barracks black marketeer J.J. Sefton is suspected of being an informer.,,,,,,,,,,,,,,,,,,,,,,,,
1952, High Noon,8.1,85,Action,Drama,July,89,A marshall personally compelled to face a returning deadly enemy finds that his own town refuses to help him.,,,,,,,,,,,,,,,,,,,,,,,,
1951, The African Queen,7.9,105,Adventure,Drama,February,0,In Africa during WWI a gin-swilling riverboat captain is persuaded by a strait-laced missionary to use his boat to attack an enemy warship.,,,,,,,,,,,,,,,,,,,,,,,,
